venue,team,matches,wins,losses,win_rate,lose_rate
Wankhede Stadium,India,19,11,7,0.58,0.37
Wankhede Stadium,England,9,4,5,0.44,0.56
Adelaide Oval,Australia,55,37,14,0.67,0.25
Adelaide Oval,New Zealand,8,3,5,0.38,0.62
Skarpnack 2,Germany,1,1,0,1.0,0.0
Skarpnack 2,Isle of Man,1,0,1,0.0,1.0
Sharjah Cricket Stadium,Pakistan,41,20,19,0.49,0.46
Sharjah Cricket Stadium,West Indies,9,6,3,0.67,0.33
Bert Sutcliffe Oval,New Zealand,6,6,0,1.0,0.0
Bert Sutcliffe Oval,Pakistan,2,0,2,0.0,1.0
Saxton Oval,New Zealand,13,10,2,0.77,0.15
Saxton Oval,Pakistan,3,0,3,0.0,1.0
Cobham Oval,Northern Districts,4,0,1,0.0,0.25
Cobham Oval,Otago Volts,2,1,0,0.5,0.0
Saxton Oval,Central Stags,11,6,1,0.55,0.09
Saxton Oval,Canterbury,5,0,3,0.0,0.6
Hagley Oval,Canterbury,38,19,14,0.5,0.37
Hagley Oval,Wellington Firebirds,3,2,1,0.67,0.33
Jaffery Sports Club Ground,Qatar,2,1,1,0.5,0.5
Jaffery Sports Club Ground,Saudi Arabia,1,1,0,1.0,0.0
R Premadasa Stadium,Sri Lanka,67,27,36,0.4,0.54
R Premadasa Stadium,England,12,4,8,0.33,0.67
Gymkhana Club Ground,Kenya,22,10,12,0.45,0.55
Gymkhana Club Ground,Qatar,1,1,0,1.0,0.0
Queens Sports Club,Sri Lanka,6,4,1,0.67,0.17
Queens Sports Club,West Indies,6,2,2,0.33,0.33
"Wright Cricket Field, Woodley Park",Denmark,3,3,0,1.0,0.0
"Wright Cricket Field, Woodley Park",Jersey,2,0,2,0.0,1.0
"Severn Cricket Field, Woodley Park",United States of America,2,1,1,0.5,0.5
"Severn Cricket Field, Woodley Park",Denmark,2,1,1,0.5,0.5
"Wong Cricket Field, Woodley Park",United States of America,2,1,1,0.5,0.5
"Wong Cricket Field, Woodley Park",Jersey,1,1,0,1.0,0.0
"Wright Cricket Field, Woodley Park",Bermuda,3,1,2,0.33,0.67
Maharashtra Cricket Association Stadium,India,11,6,5,0.55,0.45
Maharashtra Cricket Association Stadium,Australia,2,2,0,1.0,0.0
"Shere Bangla National Stadium, Mirpur",Chittagong Vikings,26,8,17,0.31,0.65
"Shere Bangla National Stadium, Mirpur",Barisal Bulls,19,10,9,0.53,0.47
"Shere Bangla National Stadium, Mirpur",Comilla Victorians,59,38,21,0.64,0.36
"Shere Bangla National Stadium, Mirpur",Rajshahi Kings,24,11,13,0.46,0.54
"Zahur Ahmed Chowdhury Stadium, Chittagong",Comilla Victorians,8,4,4,0.5,0.5
"Zahur Ahmed Chowdhury Stadium, Chittagong",Rangpur Riders,8,6,2,0.75,0.25
"Shere Bangla National Stadium, Mirpur",Rangpur Riders,63,31,32,0.49,0.51
"Shere Bangla National Stadium, Mirpur",Dhaka Dynamites,40,26,14,0.65,0.35
"Shere Bangla National Stadium, Mirpur",Khulna Titans,24,10,13,0.42,0.54
Bellerive Oval,Sydney Thunder,11,4,6,0.36,0.55
"Brisbane Cricket Ground, Woolloongabba",Adelaide Strikers,6,3,3,0.5,0.5
Bellerive Oval,Melbourne Stars,8,5,3,0.62,0.38
North Sydney Oval,Sydney Sixers,13,9,4,0.69,0.31
North Sydney Oval,Melbourne Renegades,6,2,4,0.33,0.67
Sophia Gardens,Hampshire,6,3,3,0.5,0.5
Sophia Gardens,Glamorgan,43,16,22,0.37,0.51
College Ground,Gloucestershire,12,6,2,0.5,0.17
College Ground,Middlesex,2,0,1,0.0,0.5
"County Ground, New Road",Worcestershire,40,19,21,0.47,0.53
"County Ground, New Road",Warwickshire,4,2,2,0.5,0.5
Edgbaston,Nottinghamshire,12,7,5,0.58,0.42
Edgbaston,Warwickshire,28,17,11,0.61,0.39
Lord's,Surrey,7,2,5,0.29,0.71
Lord's,Middlesex,29,13,14,0.45,0.48
Kennington Oval,Surrey,49,31,16,0.63,0.33
Kennington Oval,Kent,9,5,4,0.56,0.44
Old Trafford,Derbyshire,6,2,4,0.33,0.67
Old Trafford,Lancashire,41,26,14,0.63,0.34
County Ground,Hampshire,16,9,6,0.56,0.38
County Ground,Essex,47,20,24,0.43,0.51
Sophia Gardens,Sussex,6,3,2,0.5,0.33
Headingley,Yorkshire,42,24,17,0.57,0.4
Headingley,Worcestershire,3,2,1,0.67,0.33
The Cooper Associates County Ground,Middlesex,4,1,3,0.25,0.75
The Cooper Associates County Ground,Somerset,36,20,16,0.56,0.44
Edgbaston,Derbyshire,4,0,4,0.0,1.0
County Ground,Glamorgan,14,6,5,0.43,0.36
County Ground,Gloucestershire,45,25,19,0.56,0.42
St Lawrence Ground,Somerset,7,1,6,0.14,0.86
St Lawrence Ground,Kent,39,17,19,0.44,0.49
Lord's,Essex,6,3,3,0.5,0.5
County Ground,Warwickshire,7,4,3,0.57,0.43
County Ground,Northamptonshire,47,22,23,0.47,0.49
Headingley,Derbyshire,9,3,6,0.33,0.67
The Cooper Associates County Ground,Kent,5,4,1,0.8,0.2
Kennington Oval,Sussex,6,0,5,0.0,0.83
St Lawrence Ground,Surrey,5,2,2,0.4,0.4
County Ground,Sussex,44,22,18,0.5,0.41
County Ground,Derbyshire,39,17,21,0.44,0.54
County Ground,Worcestershire,15,8,7,0.53,0.47
County Ground,Durham,9,4,3,0.44,0.33
"County Ground, Northampton",Northamptonshire,138,48,58,0.35,0.42
